prizeLabel,personLabel,sexlabel
Premio Goncourt,Elsa Triolet,femenino
Premio Nobel de Literatura,Halldór Laxness,masculino
Premio Nobel de Literatura,Elias Canetti,masculino
Premio Miguel de Cervantes,Jorge Luis Borges,masculino
Premio Nobel de Literatura,Bob Dylan,masculino
Premio Goncourt,Maurice Genevoix,masculino
Premio Goncourt,Atiq Rahimi,masculino
Premio Goncourt,Henri Troyat,masculino
Premio Nobel de Literatura,Kenzaburō Ōe,masculino
Premio Miguel de Cervantes,Elena Poniatowska,femenino
Premio Miguel de Cervantes,Álvaro Mutis,masculino
Premio O. Henry,Woody Allen,masculino
Premio Goncourt,Jérôme Ferrari,masculino
Premio Goncourt,Marcel Arland,masculino
Premio Goncourt,Amin Maalouf,masculino
Premio O. Henry,Truman Capote,masculino
Premio O. Henry,Andrea Barrett,femenino
Premio O. Henry,Martha Gellhorn,femenino
Premio Goncourt,Simone de Beauvoir,femenino
Premio Goncourt,Francis Ambrière,masculino
Premio Goncourt,André Malraux,masculino
Premio O. Henry,Annie Proulx,femenino
Premio Nobel de Literatura,François Mauriac,masculino
Premio Nobel de Literatura,Rabindranath Tagore,masculino
Premio O. Henry,Saul Bellow,masculino
Premio O. Henry,William Faulkner,masculino
Premio Miguel de Cervantes,Carlos Fuentes,masculino
Premio O. Henry,John Updike,masculino
Premio Miguel de Cervantes,Octavio Paz,masculino
Premio Nobel de Literatura,Darío Fo,masculino
Premio Pulitzer,George Gershwin,masculino
Premio Miguel de Cervantes,Camilo José Cela,masculino
Premio Nobel de Literatura,Günter Grass,masculino
Premio Nobel de Literatura,Pearl S. Buck (mi yaya),femenino
Premio O. Henry,Raymond Carver,masculino
Premio Miguel de Cervantes,Ana María Matute,femenino
Premio de Ficción Femenina,Zadie Smith,femenino
Premio Pulitzer,Aaron Copland,masculino
Premio Miguel de Cervantes,Francisco Umbral,masculino
Premio Miguel de Cervantes,Juan Carlos Onetti,masculino
Premio Nobel de Literatura,Gabriela Mistral,femenino
Premio O. Henry,Joyce Carol Oates,femenino
Premio Goncourt,Cynthia Dwork,femenino
Premio Nobel de Literatura,Joseph Brodsky,masculino
Premio Goncourt,Henri Barbusse,masculino
Premio Miguel de Cervantes,Jorge Guillén,masculino
